ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
99549_at	5.203899757041939	4.507432981662813	25.112946715146084	1.217162558925441e-12	1.8999907544826133e-9	19.23543746289586	ENSMUSG00000021390
102044_at	5.061550401831077	5.438652713437816	16.503437747193015	2.8174902378671173e-10	8.796204522621139e-8	14.08168112089017	ENSMUSG00000005124
102048_at	4.706476171335885	5.128043082954833	6.270923713805217	2.5311155478599835e-5	3.679693941987832e-4	2.4187339461917894	ENSMUSG00000024803
160511_at	4.670301020827862	4.381083786725191	14.942697397158836	9.97543197899054e-10	1.946456164900529e-7	12.826789476750726	ENSMUSG00000061353
160095_at	4.522397724657689	5.503542603323433	11.784902290097373	1.930819936088264e-8	1.686159395934982e-6	9.831682861362314	ENSMUSG00000024529
94305_at	4.381749404212072	6.446532132606328	8.033910892991505	1.7729305142056485e-6	4.942043808348245e-5	5.1747890527796425	ENSMUSG00000001506
97496_f_at	4.252834240925045	5.063733260043512	9.306546167967435	3.283752177335836e-7	1.3185690414974252e-5	6.919760243098212	ENSMUSG00000037060
160280_at	4.207924735750346	5.043929834877639	6.281368540010975	2.488533779847697e-5	3.647512892340146e-4	2.4363069414363636	ENSMUSG00000007655
102395_at	4.127626315285424	5.080815380232562	15.049933251076363	9.111492371881928e-10	1.865316667869861e-7	12.917238536346137	ENSMUSG00000018217
99979_at	4.062495592310492	6.5321536401841955	11.334387775753566	3.110268797618857e-8	2.4428324996644202e-6	9.344289192799113	ENSMUSG00000024087
101090_at	4.0395270522709	5.621441519697794	11.895161136762868	1.7221610159847265e-8	1.5472191919149112e-6	9.948409518877401	ENSMUSG00000027204
92773_at	4.013076114799662	4.380426837259524	7.389607693828547	4.471943690230459e-6	9.919295346997864e-5	4.215651186317903	ENSMUSG00000025810
92567_at	3.9445719442057294	6.118070720623875	7.730739611836813	2.722690077585234e-6	6.80019073777688e-5	4.730139335244569	ENSMUSG00000026042
161511_f_at	3.8643295858297995	4.727506207372311	18.5915071337729	6.09769361995619e-11	2.456387029871384e-8	15.576435666904526	"NA"
92593_at	3.803314117954887	5.325505858789272	22.331694117620216	5.649727749320929e-12	5.039557152394269e-9	17.832976745740105	ENSMUSG00000027750
92558_at	3.794423190687624	6.573109535324974	10.986837042125751	4.541777071171288e-8	3.186388318246463e-6	8.956395436889267	ENSMUSG00000027962
103570_at	3.784125335256271	4.040820068474977	20.42210064986007	1.8081227805696423e-11	9.408265534897373e-9	16.740882015603777	ENSMUSG00000058914
102907_at	3.699138763748403	6.391387747813943	5.894917332327028	4.70918627280123e-5	5.922287832300278e-4	1.7760774706876301	ENSMUSG00000033149
93028_at	3.6409531830347124	8.436327345743994	7.356982289294344	4.692879758789949e-6	1.035418417451747e-4	4.165645557868032	NA.1
94761_at	3.5435279285843624	5.744571606882764	7.108312700252686	6.807970242894589e-6	1.3646538104858367e-4	3.7798400873820963	ENSMUSG00000035373
